nha,omat_selected_plant,omat_selected_supplier,omat_selected_suppliercd,suppcd_1050,suppcd_1060,suppcd_1090,suppcd_1900,suppcd_2000,suppcd_3120,suppcd_po1,suppcd_po2,suppcd_pr,suppname_1050,suppname_1060,suppname_1090,suppname_1900,suppname_2000,suppname_3120,suppname_po1,suppname_po2,suppname_pr
02-055723-21,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-055723-21,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-055723-21,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-055723-21,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-055723-21,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-055723-21,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-055723-21,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-169108-00,2000,BALL SCREWS & ACTUATORS CO INC,0001000452,0001000452,,,0001000452,0001000452,,,,,BALL SCREWS & ACTUATORS CO INC,,,BALL SCREWS & ACTUATORS CO INC,BALL SCREWS & ACTUATORS CO INC,,,,
02-169108-00,2000,BALL SCREWS & ACTUATORS CO INC,0001000452,0001000452,,,0001000452,0001000452,,,,,BALL SCREWS & ACTUATORS CO INC,,,BALL SCREWS & ACTUATORS CO INC,BALL SCREWS & ACTUATORS CO INC,,,,
02-169108-00,2000,BALL SCREWS & ACTUATORS CO INC,0001000452,0001000452,,,0001000452,0001000452,,,,,BALL SCREWS & ACTUATORS CO INC,,,BALL SCREWS & ACTUATORS CO INC,BALL SCREWS & ACTUATORS CO INC,,,,
02-169108-00,2000,BALL SCREWS & ACTUATORS CO INC,0001000452,0001000452,,,0001000452,0001000452,,,,,BALL SCREWS & ACTUATORS CO INC,,,BALL SCREWS & ACTUATORS CO INC,BALL SCREWS & ACTUATORS CO INC,,,,
02-169108-00,2000,BALL SCREWS & ACTUATORS CO INC,0001000452,0001000452,,,0001000452,0001000452,,,,,BALL SCREWS & ACTUATORS CO INC,,,BALL SCREWS & ACTUATORS CO INC,BALL SCREWS & ACTUATORS CO INC,,,,
02-169108-00,2000,BALL SCREWS & ACTUATORS CO INC,0001000452,0001000452,,,0001000452,0001000452,,,,,BALL SCREWS & ACTUATORS CO INC,,,BALL SCREWS & ACTUATORS CO INC,BALL SCREWS & ACTUATORS CO INC,,,,
02-169108-00,2000,BALL SCREWS & ACTUATORS CO INC,0001000452,0001000452,,,0001000452,0001000452,,,,,BALL SCREWS & ACTUATORS CO INC,,,BALL SCREWS & ACTUATORS CO INC,BALL SCREWS & ACTUATORS CO INC,,,,
02-169108-00,2000,BALL SCREWS & ACTUATORS CO INC,0001000452,0001000452,,,0001000452,0001000452,,,,,BALL SCREWS & ACTUATORS CO INC,,,BALL SCREWS & ACTUATORS CO INC,BALL SCREWS & ACTUATORS CO INC,,,,
02-261354-00,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-261354-00,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-261354-00,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-261354-00,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-327407-00,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-327407-00,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-327407-00,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-327407-00,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-407092-00,2000,ICHOR SYSTEMS INC,0001035451,,,,0001035451,0001035451,,,,,,,,ICHOR SYSTEMS INC,ICHOR SYSTEMS INC,,,,
02-407092-00,2000,ICHOR SYSTEMS INC,0001035451,,,,0001035451,0001035451,,,,,,,,ICHOR SYSTEMS INC,ICHOR SYSTEMS INC,,,,
02-407092-00,2000,ICHOR SYSTEMS INC,0001035451,,,,0001035451,0001035451,,,,,,,,ICHOR SYSTEMS INC,ICHOR SYSTEMS INC,,,,
02-407092-00,2000,ICHOR SYSTEMS INC,0001035451,,,,0001035451,0001035451,,,,,,,,ICHOR SYSTEMS INC,ICHOR SYSTEMS INC,,,,
02-413761-00,1900,CORTEC PRECISION SHEETMETAL INC,0001000911,,,,0001000911,,,,,,,,,CORTEC PRECISION SHEETMETAL INC,,,,,
02-413761-00,1900,CORTEC PRECISION SHEETMETAL INC,0001000911,,,,0001000911,,,,,,,,,CORTEC PRECISION SHEETMETAL INC,,,,,
02-422230-00,,,,,,,,,,,,,,,,,,,,,
02-422230-00,,,,,,,,,,,,,,,,,,,,,
02-422230-00,,,,,,,,,,,,,,,,,,,,,
